 -8.1237207e+000 -6.2734995e-001 -3.3440238e-001 -1.0665536e-002  2.0548374e-001  1.8498532e-001  3.1595796e-001  2.9598762e-001  2.8693777e-001  3.0460264e-001  2.0370896e-001  2.6104569e-001  1.1219301e-001  2.2251430e-001  1.3071562e-001
 -8.1219210e+000 -6.2393971e-001 -3.3207854e-001 -1.0611860e-002  2.0387818e-001  1.8226335e-001  3.1243800e-001  2.9320645e-001  2.8597042e-001  3.0413401e-001  2.0411483e-001  2.6220748e-001  1.1326503e-001  2.2380457e-001  1.3185972e-001
 -8.1239791e+000 -6.2741199e-001 -3.3425233e-001 -9.8383205e-003  2.0661541e-001  1.8600811e-001  3.1632132e-001  2.9570804e-001  2.8624052e-001  3.0399851e-001  2.0313600e-001  2.6058171e-001  1.1205474e-001  2.2241781e-001  1.3050588e-001
 -8.1247777e+000 -6.2924293e-001 -3.3564726e-001 -1.0461227e-002  2.0670053e-001  1.8682349e-001  3.1806989e-001  2.9746639e-001  2.8724283e-001  3.0464966e-001  2.0328646e-001  2.6023953e-001  1.1154251e-001  2.2175595e-001  1.3000579e-001
 -8.1242016e+000 -6.2784807e-001 -3.3456420e-001 -9.8774566e-003  2.0678452e-001  1.8632682e-001  3.1675979e-001  2.9606738e-001  2.8637784e-001  3.0407782e-001  2.0311653e-001  2.6046510e-001  1.1193532e-001  2.2226237e-001  1.3036650e-001
 -8.1243869e+000 -6.2849015e-001 -3.3511943e-001 -1.0434071e-002  2.0635198e-001  1.8620324e-001  3.1725649e-001  2.9683643e-001  2.8704415e-001  3.0456507e-001  2.0338589e-001  2.6050369e-001  1.1178151e-001  2.2204418e-001  1.3026484e-001
 -8.1241568e+000 -6.2870021e-001 -3.3553825e-001 -1.1631816e-002  2.0487149e-001  1.8498727e-001  3.1707746e-001  2.9750784e-001  2.8814298e-001  3.0546469e-001  2.0412828e-001  2.6100809e-001  1.1183790e-001  2.2204037e-001  1.3045367e-001
 -8.1249480e+000 -6.2962907e-001 -3.3592962e-001 -1.0636802e-002  2.0664281e-001  1.8686911e-001  3.1830662e-001  2.9781467e-001  2.8754265e-001  3.0488099e-001  2.0339805e-001  2.6024492e-001  1.1147638e-001  2.2164658e-001  1.2994187e-001
 -8.1237113e+000 -6.2717402e-001 -3.3422045e-001 -1.0392548e-002  2.0575376e-001  1.8515517e-001  3.1586250e-001  2.9572310e-001  2.8664195e-001  3.0437918e-001  2.0356998e-001  2.6099455e-001  1.1223567e-001  2.2257223e-001  1.3071920e-001
 -8.1234275e+000 -6.2662033e-001 -3.3382630e-001 -1.0278915e-002  2.0564472e-001  1.8486632e-001  3.1538083e-001  2.9525937e-001  2.8639631e-001  3.0421014e-001  2.0352265e-001  2.6106955e-001  1.1234775e-001  2.2274092e-001  1.3085979e-001
 -8.1232898e+000 -6.2588403e-001 -3.3313310e-001 -9.4019140e-003  2.0644178e-001  1.8529786e-001  3.1493613e-001  2.9429561e-001  2.8540365e-001  3.0345721e-001  2.0305630e-001  2.6091243e-001  1.1250025e-001  2.2296683e-001  1.3091448e-001
 -8.1248984e+000 -6.2984321e-001 -3.3618226e-001 -1.1096340e-002  2.0613721e-001  1.8658371e-001  3.1854937e-001  2.9828073e-001  2.8799489e-001  3.0518861e-001  2.0356172e-001  2.6025723e-001  1.1134253e-001  2.2150870e-001  1.2991145e-001
 -8.1236817e+000 -6.2727456e-001 -3.3437584e-001 -1.0581661e-002  2.0563605e-001  1.8507692e-001  3.1587435e-001  2.9584213e-001  2.8680591e-001  3.0450577e-001  2.0364305e-001  2.6101425e-001  1.1222032e-001  2.2256341e-001  1.3072970e-001
 -8.1237561e+000 -6.2716524e-001 -3.3415927e-001 -1.0196546e-002  2.0599639e-001  1.8536995e-001  3.1594188e-001  2.9565952e-001  2.8648872e-001  3.0424025e-001  2.0342648e-001  2.6087284e-001  1.1218696e-001  2.2253898e-001  1.3066935e-001
 -8.1229189e+000 -6.2596372e-001 -3.3353353e-001 -1.0823428e-002  2.0464495e-001  1.8371984e-001  3.1447278e-001  2.9490996e-001  2.8666645e-001  3.0451647e-001  2.0397036e-001  2.6158513e-001  1.1264699e-001  2.2306082e-001  1.3121590e-001
 -8.1220132e+000 -6.2349673e-001 -3.3150010e-001 -9.4356209e-003  2.0518298e-001  1.8329063e-001  3.1249106e-001  2.9242530e-001  2.8481326e-001  3.0318663e-001  2.0337186e-001  2.6173920e-001  1.1322937e-001  2.2384076e-001  1.3171624e-001
 -8.1222969e+000 -6.2463127e-001 -3.3255069e-001 -1.0581841e-002  2.0426239e-001  1.8288559e-001  3.1319937e-001  2.9375970e-001  2.8610520e-001  3.0417613e-001  2.0399974e-001  2.6194828e-001  1.1304421e-001  2.2354068e-001  1.3161203e-001
